n,input,val
0, 175.950256, 28899.339844
1, 128.881699, 16674.548828
2, 150.830093, 22464.304688
3, 141.470154, 19973.802734
4, 96.499352, 9079.730469
5, 65.721695, 3851.003418
6, 52.882446, 2355.121094
7, 159.696793, 24804.816406
8, 86.732399, 7178.352539
9, 215.182220, 36079.414062
10, 17.538399, 208.763382
11, 104.526260, 10794.754883
12, 224.398483, 36849.109375
13, 81.467476, 6243.974609
14, 250.044876, 36314.800781
15, 21.676222, 327.697662
16, 231.445389, 37120.714844
17, 26.139910, 491.186584
18, 235.104324, 37145.562500
19, 129.425552, 16814.638672
20, 222.433762, 36721.746094
21, 84.981232, 6860.197754
22, 176.564407, 29046.521484
23, 142.021286, 20120.207031
24, 92.288376, 8233.916016
25, 8.158426, 43.536690
26, 218.920334, 36444.421875
27, 25.241047, 455.215698
28, 223.652222, 36804.578125
29, 114.561028, 13109.231445
30, 110.209114, 12084.065430
31, 154.598328, 23463.755859
32, 236.598602, 37128.921875
33, 169.392838, 27291.498047
34, 100.818169, 9986.339844
35, 111.809586, 12457.425781
36, 166.291885, 26508.001953
37, 236.860214, 37126.140625
38, 242.031555, 36953.156250
39, 78.370613, 5725.218750
40, 152.103149, 22802.513672
41, 199.684418, 33882.167969
42, 86.197746, 7080.409668
43, 205.339462, 34801.347656
44, 240.260147, 37032.742188
45, 16.950705, 194.289642
46, 218.557144, 36412.972656
47, 249.190674, 36406.648438
48, 226.859787, 36977.628906
49, 139.045288, 19331.111328
50, 220.414795, 36571.171875
51, 116.732033, 13631.979492
52, 204.055954, 34604.707031
53, 222.794922, 36747.015625
54, 209.563690, 35402.804688
55, 47.360188, 1836.117188
56, 21.997580, 338.238098
57, 162.729736, 25593.617188
58, 59.626129, 3089.802490
59, 117.994041, 13939.115234
60, 1.892073, 2.924535
61, 161.927689, 25385.998047
62, 107.419022, 11443.770508
63, 243.182861, 36888.093750
64, 53.580719, 2425.971436
65, 247.541397, 36563.769531
66, 66.619400, 3970.816406
67, 218.551392, 36412.949219
68, 148.239838, 21774.966797
69, 180.366165, 29937.677734
70, 72.923683, 4869.623535
71, 81.141960, 6188.319824
72, 164.207672, 25974.783203
73, 218.922165, 36445.027344
74, 170.566956, 27584.226562
75, 113.003166, 12738.708984
76, 14.253213, 135.208054
77, 198.250427, 33630.335938
78, 151.646606, 22681.169922
79, 26.030819, 486.735962
80, 76.386276, 5405.083008
81, 242.433426, 36930.542969
82, 169.758621, 27382.957031
83, 241.669678, 36970.250000
84, 224.256958, 36840.472656
85, 178.720947, 29555.261719
86, 95.876755, 8952.359375
87, 156.437943, 23949.669922
88, 220.100845, 36545.253906
89, 34.723686, 916.887146
90, 112.119728, 12530.310547
91, 70.015839, 4442.740723
92, 47.636478, 1860.289795
93, 129.071915, 16723.498047
94, 145.480103, 21040.179688
95, 171.571167, 27833.558594
96, 159.024811, 24629.023438
97, 15.631014, 163.892410
98, 140.366364, 19680.960938
99, 143.808273, 20595.218750
100, 136.828217, 18745.835938
101, 26.579580, 509.347534
102, 152.880890, 23008.789062
103, 70.462585, 4506.927734
104, 87.301056, 7283.126465
105, 188.773743, 31787.996094
106, 245.779663, 36712.492188
107, 79.425537, 5899.268066
108, 95.978653, 8973.161133
109, 142.716370, 20304.904297
110, 120.522804, 14561.210938
